report_period_start,report_period_end,interval_start,interval_end,node,namespace,pod,pod_usage_cpu_core_seconds,pod_request_cpu_core_seconds,pod_limit_cpu_core_seconds,pod_usage_memory_byte_seconds,pod_request_memory_byte_seconds,pod_limit_memory_byte_seconds,node_capacity_cpu_cores,node_capacity_cpu_core_seconds,node_capacity_memory_bytes,node_capacity_memory_byte_seconds,resource_id,pod_labels
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-multus,multus-clrz2,8.034664,36.000000,,62468997120.000000,566231040000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:multus|label_component:network|label_controller_revision_hash:fdcc7449f|label_openshift_io_component:network|label_pod_template_generation:2|label_type:infra
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-kube-apiserver,installer-16-os-ctrl-0,,540.000000,540.000000,,720000000000.000000,720000000000.000000,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:installer
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-etcd-operator,etcd-operator-69bddf855b-4g6z8,96.924298,36.000000,,464295690240.000000,188743680000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:etcd-operator|label_pod_template_hash:69bddf855b
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-multus,multus-95vxn,8.499403,36.000000,,59794636800.000000,566231040000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app:multus|label_component:network|label_controller_revision_hash:fdcc7449f|label_openshift_io_component:network|label_pod_template_generation:2|label_type:infra
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-kube-controller-manager,kube-controller-manager-os-ctrl-2,44.266059,288.000000,,1423286353920.000000,1887436800000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app:kube-controller-manager|label_kube_controller_manager:true|label_revision:12
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-dns-operator,dns-operator-5f6cc86fb5-cpcks,5.130898,72.000000,,400855941120.000000,260466278400.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_name:dns-operator|label_pod_template_hash:5f6cc86fb5
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-etcd,etcd-quorum-guard-5df9d7748f-jnqlt,21.673522,36.000000,,94800936960.000000,18874368000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_k8s_app:etcd-quorum-guard|label_name:etcd-quorum-guard|label_pod_template_hash:5df9d7748f
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-dns,dns-default-kpc8c,17.624321,234.000000,,464198369280.000000,494508441600.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_controller_revision_hash:644fd5fcc4|label_dns_operator_openshift_io_daemonset_dns:default|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-monitoring,openshift-state-metrics-594bf55f54-qxz5j,2.291480,10.800000,,460648611840.000000,717225984000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_k8s_app:openshift-state-metrics|label_pod_template_hash:594bf55f54
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-monitoring,prometheus-adapter-7667785797-dflmk,17.684300,3.600000,,260363550720.000000,94371840000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_name:prometheus-adapter|label_pod_template_hash:7667785797
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-operator-lifecycle-manager,olm-operator-54fb4f5b54-2ld7d,45.411155,36.000000,,2219027251200.000000,603979776000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:olm-operator|label_pod_template_hash:54fb4f5b54
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,open-cluster-management-agent-addon,klusterlet-addon-workmgr-5cdfb6bb49-57cbt,7.039299,,,198269337600.000000,483183820800.000000,1932735283200.000000,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:work-manager|label_chart:work-manager-2.2.0|label_component:work-manager|label_controller:operator|label_heritage:Helm|label_pod_template_hash:5cdfb6bb49|label_release:klusterlet-addon-workmgr
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-kube-storage-version-migrator-operator,kube-storage-version-migrator-operator-766994dfb4-44cj7,44.934920,36.000000,,396078612480.000000,188743680000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:kube-storage-version-migrator-operator|label_pod_template_hash:766994dfb4
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-monitoring,prometheus-adapter-7667785797-dcpsz,18.178295,3.600000,,252454256640.000000,94371840000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_name:prometheus-adapter|label_pod_template_hash:7667785797
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-machine-api,metal3-image-cache-z2fnk,0.075019,,,165312921600.000000,,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_baremetal_openshift_io_cluster_baremetal_operator:metal3-image-cache|label_controller_revision_hash:76b7987d77|label_k8s_app:metal3|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-console,console-bb998b794-b4spd,10.807626,36.000000,,404262666240.000000,377487360000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:console|label_component:ui|label_pod_template_hash:bb998b794
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-cnv,hco-operator-bd5d797f8-l5lx5,4.928050,,,182594764800.000000,,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_name:hyperconverged-cluster-operator|label_pod_template_hash:bd5d797f8
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-controller-manager,controller-manager-nfknq,2.232037,360.000000,,214713139200.000000,377487360000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app:openshift-controller-manager|label_controller_manager:true|label_controller_revision_hash:6589fbc579|label_pod_template_generation:36
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-authentication,oauth-openshift-d4c44b955-8gfxg,20.964691,36.000000,,429883637760.000000,188743680000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:oauth-openshift|label_pod_template_hash:d4c44b955
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-operator-lifecycle-manager,packageserver-56bb5cbfbd-cf8cb,61.202246,,,726785310720.000000,,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:packageserver|label_pod_template_hash:56bb5cbfbd
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-kube-apiserver,installer-15-os-ctrl-1,,540.000000,540.000000,,720000000000.000000,720000000000.000000,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:installer
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-cnv,virt-operator-75697dd6b9-v6c24,26.373554,,,560943267840.000000,,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_kubevirt_io:virt-operator|label_pod_template_hash:75697dd6b9
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-multus,multus-admission-controller-lsvh9,4.834452,72.000000,,389918146560.000000,75497472000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app:multus-admission-controller|label_component:network|label_controller_revision_hash:85dd78bb8|label_namespace:openshift-multus|label_openshift_io_component:network|label_pod_template_generation:2|label_type:infra
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-kube-apiserver,kube-apiserver-os-ctrl-0,420.546309,1044.000000,,12531847495680.000000,4620445286400.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_apiserver:true|label_app:openshift-kube-apiserver|label_revision:16
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-cluster-storage-operator,csi-snapshot-webhook-76c6d8dfc8-j5k4r,0.222047,36.000000,,164438999040.000000,75497472000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:csi-snapshot-webhook|label_pod_template_hash:76c6d8dfc8
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-machine-config-operator,machine-config-daemon-6dzd5,4.176293,144.000000,,1029984092160.000000,377487360000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_controller_revision_hash:665dc5794|label_k8s_app:machine-config-daemon|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-kni-infra,coredns-os-ctrl-0,21.784601,720.000000,,455425720320.000000,1509949440000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:kni-infra-mdns
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-controller-manager,controller-manager-xm2s2,2.017468,360.000000,,226011217920.000000,377487360000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:openshift-controller-manager|label_controller_manager:true|label_controller_revision_hash:6589fbc579|label_pod_template_generation:36
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-network-diagnostics,network-check-target-ns4wc,0.290324,36.000000,,92627927040.000000,56623104000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:network-check-target|label_controller_revision_hash:5ffddf6685|label_kubernetes_io_os:linux|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-cnv,hostpath-provisioner-operator-5cccd99cb9-h9pzj,2.068865,,,266231808000.000000,,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_name:hostpath-provisioner-operator|label_pod_template_hash:5cccd99cb9
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-network-diagnostics,network-check-source-7c9c5f694-6glgw,14.536186,36.000000,,606427545600.000000,150994944000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:network-check-source|label_kubernetes_io_os:linux|label_pod_template_hash:7c9c5f694
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-marketplace,certified-operators-ndp79,297.957178,36.000000,,2795286773760.000000,188743680000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_olm_catalogSource:certified-operators
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-image-registry,node-ca-v4gh5,0.428399,36.000000,,294473809920.000000,37748736000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_controller_revision_hash:6557fcc99f|label_name:node-ca|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-multus,multus-admission-controller-rk2pm,4.002448,72.000000,,409500057600.000000,75497472000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:multus-admission-controller|label_component:network|label_controller_revision_hash:85dd78bb8|label_namespace:openshift-multus|label_openshift_io_component:network|label_pod_template_generation:2|label_type:infra
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-cnv,cluster-network-addons-operator-fc9b7656-zpmhv,1.830469,,,281965363200.000000,,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_name:cluster-network-addons-operator|label_pod_template_hash:fc9b7656
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-insights,insights-operator-646694b8dd-7b49s,12.791331,36.000000,,493910753280.000000,113246208000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:insights-operator|label_pod_template_hash:646694b8dd
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-kube-apiserver-operator,kube-apiserver-operator-7df6755578-59bzh,148.715697,36.000000,,701591224320.000000,188743680000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:kube-apiserver-operator|label_pod_template_hash:7df6755578
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-kube-apiserver,installer-14-os-ctrl-2,,540.000000,540.000000,,720000000000.000000,720000000000.000000,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app:installer
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-machine-api,cluster-autoscaler-operator-c74c79d4c-rjgmk,5.003773,108.000000,,461568000000.000000,264241152000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_k8s_app:cluster-autoscaler-operator|label_pod_template_hash:c74c79d4c
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-operator-lifecycle-manager,packageserver-56bb5cbfbd-wjj2w,59.371803,,,633280757760.000000,,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:packageserver|label_pod_template_hash:56bb5cbfbd
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-ingress,router-default-588994cb78-vhbp5,21.630720,360.000000,,494157004800.000000,966367641600.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_ingresscontroller_operator_openshift_io_deployment_ingresscontroller:default|label_pod_template_hash:588994cb78
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-ingress-canary,ingress-canary-69rmf,0.114639,36.000000,,125855170560.000000,75497472000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_controller_revision_hash:7456cfc96c|label_ingresscanary_operator_openshift_io_daemonset_ingresscanary:canary_controller|label_pod_template_generation:1
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-oauth-apiserver,apiserver-7b584d64f7-ww4dj,85.835355,540.000000,,1299930071040.000000,754974720000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_apiserver:true|label_app:openshift-oauth-apiserver|label_oauth_apiserver_anti_affinity:true|label_pod_template_hash:7b584d64f7|label_revision:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-cnv,cdi-operator-6848b749cf-xp2lw,6.123128,,,164457676800.000000,,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_name:cdi-operator|label_pod_template_hash:6848b749cf
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,open-cluster-management-agent,klusterlet-work-agent-95fc6db87-dnwff,15.240714,360.000000,,364113100800.000000,483183820800.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:klusterlet-manifestwork-agent|label_pod_template_hash:95fc6db87
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-sdn,sdn-9bhs9,21.548158,396.000000,,787828654080.000000,830472192000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:sdn|label_component:network|label_controller_revision_hash:74769fb469|label_openshift_io_component:network|label_pod_template_generation:2|label_type:infra
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-kni-infra,keepalived-os-ctrl-1,171.369740,720.000000,,765745889280.000000,1509949440000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:kni-infra-vrrp
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-controller-manager-operator,openshift-controller-manager-operator-5bddb55dcc-thm88,30.372860,36.000000,,463128576000.000000,188743680000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:openshift-controller-manager-operator|label_pod_template_hash:5bddb55dcc
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-cluster-samples-operator,cluster-samples-operator-77799789ff-xrnm4,7.698572,72.000000,,595707494400.000000,377487360000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_name:cluster-samples-operator|label_pod_template_hash:77799789ff
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-ingress,router-default-588994cb78-95vs5,19.310731,360.000000,,454523043840.000000,966367641600.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_ingresscontroller_operator_openshift_io_deployment_ingresscontroller:default|label_pod_template_hash:588994cb78
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-kube-apiserver,revision-pruner-13-os-ctrl-0,,540.000000,540.000000,,720000000000.000000,720000000000.000000,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:pruner
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,,,,,,,,,,,,,,,label_controller_uid:d79bc6a0-b1a8-4a4d-8e47-f2ef8b6e68bc|label_job_name:cbd7f30b2f16cb3bf12fccda224f65bf6d360d088961ae905543cc31a8dcf51
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-multus,network-metrics-daemon-lsmzm,3.854133,72.000000,,407990845440.000000,452984832000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:network-metrics-daemon|label_component:network|label_controller_revision_hash:78696c777|label_openshift_io_component:network|label_pod_template_generation:2|label_type:infra
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-cnv,vm-import-operator-56bb5db97d-fh2g2,1.260170,,,142280294400.000000,,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_name:vm-import-operator|label_pod_template_hash:56bb5db97d
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,,,,,,,,,,,,,,,label_controller_uid:3f27e3ea-17f6-4b19-b437-4cb5749f4e0d|label_job_name:62c0b9a631d3e19159be6f24676ac57f19a11829d5f73015ff5dd30573fa042
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-sdn,sdn-controller-tg8sq,0.929552,36.000000,,272019947520.000000,188743680000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:sdn-controller|label_controller_revision_hash:544fc9b5fb|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-multus,network-metrics-daemon-tpx5c,4.713567,72.000000,,383306956800.000000,452984832000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app:network-metrics-daemon|label_component:network|label_controller_revision_hash:78696c777|label_openshift_io_component:network|label_pod_template_generation:2|label_type:infra
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,costmanagement-metrics-operator,costmanagement-metrics-controller-manager-764f495648-z2sgc,3.359136,,,74966630400.000000,,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_control_plane:controller-manager|label_pod_template_hash:764f495648
